branch;chainage;type_code;station_label;dfs0
BRANCH974;3000.0;1;W49 ;.\Waterdemand2.dfs0
BRANCH975;6000.0;1;W49 ;.\Waterdemand2.dfs0
BRANCH976;5018.0;1;W49 ;.\Waterdemand2.dfs0
BRANCH978;200.0;1;W49 ;.\Waterdemand2.dfs0
BRANCH979;3947.0;1;W49 ;.\Waterdemand2.dfs0
BRANCH983;2479.0;1;W49 ;.\Waterdemand2.dfs0
BRANCH984;2162.0;1;W49 ;.\Waterdemand2.dfs0
BRANCH987;3000.0;1;W49 ;.\Waterdemand2.dfs0
BRANCH988;3000.0;1;W49 ;.\Waterdemand2.dfs0
BRANCH989;6000.0;1;W49 ;.\Waterdemand2.dfs0
BRANCH991;200.0;1;W49 ;.\Waterdemand2.dfs0
BRANCH993;200.0;1;W34 ;.\Waterdemand2.dfs0
BRANCH993;8386.0;1;W49 ;.\Waterdemand2.dfs0
BRANCH994;3000.0;1;W49 ;.\Waterdemand2.dfs0
BRANCH997;3000.0;1;W48 ;.\Waterdemand2.dfs0
BRANCH999;2773.0;1;W49 ;.\Waterdemand2.dfs0
BRTALIEM;4000.0;1;W26 ;.\Waterdemand2.dfs0
Bui Moi;4500.0;1; PR/105 ;.\Waterdemand2.dfs0
BUNG COC;3800.0;1;W26 ;.\Waterdemand2.dfs0
BUNG TUC;2000.0;1;W23 ;.\Waterdemand2.dfs0
BUNG TUC;7000.0;1;W23 ;.\Waterdemand2.dfs0
BUNG TUC;9000.0;1;W23 ;.\Waterdemand2.dfs0
BUNGLON;2163.0;1;W18 ;.\Waterdemand2.dfs0
BUNGTRUONG;2500.0;1; SMT/81 ;.\Waterdemand2.dfs0
BUNGTRUONG;12433.0;1; SMT/81 ;.\Waterdemand2.dfs0
C01;6548.5;1;SUB1088 ;.\Waterdemand2.dfs0
C02;1380.0;1;SUB1088 ;.\Waterdemand2.dfs0
C03;718.0;1;SUB1088 ;.\Waterdemand2.dfs0
C05;1074.0;1;SUB1088 ;.\Waterdemand2.dfs0
C06;2519.0;1;SUB1089 ;.\Waterdemand2.dfs0
C07;3613.0;1;SUB1089 ;.\Waterdemand2.dfs0
C08;3532.0;1;SUB1089 ;.\Waterdemand2.dfs0
C09;1155.5;1;SUB1089 ;.\Waterdemand2.dfs0
C10;1110.0;1;SUB1089 ;.\Waterdemand2.dfs0
C11;6610.0;1;SUB1089 ;.\Waterdemand2.dfs0
C12;8800.5;1;SUB1089 ;.\Waterdemand2.dfs0
C13;6554.0;1;SUB1089 ;.\Waterdemand2.dfs0
C14;3858.0;1;SUB1089 ;.\Waterdemand2.dfs0
C15;2370.5;1;SUB1089 ;.\Waterdemand2.dfs0
C16;5673.0;1;SUB1090 ;.\Waterdemand2.dfs0
C17;8586.5;1;SUB1090 ;.\Waterdemand2.dfs0
C18;2893.0;1;SUB1090 ;.\Waterdemand2.dfs0
C19;3741.5;1;SUB1090 ;.\Waterdemand2.dfs0
C20;2756.5;1;SUB1090 ;.\Waterdemand2.dfs0
C21;2155.0;1;SUB1090 ;.\Waterdemand2.dfs0
C22;4753.5;1;SUB1090 ;.\Waterdemand2.dfs0
C23;5388.0;1;SUB1090 ;.\Waterdemand2.dfs0
C24;4367.5;1;SUB1090 ;.\Waterdemand2.dfs0
C25;4007.5;1;SUB1090 ;.\Waterdemand2.dfs0
C26;3283.0;1;SUB1090 ;.\Waterdemand2.dfs0
C27;4943.0;1;SUB1090 ;.\Waterdemand2.dfs0
C28;11826.5;1;SUB1090 ;.\Waterdemand2.dfs0
C29;4615.5;1;SUB1090 ;.\Waterdemand2.dfs0
C30;5181.5;1;SUB1090 ;.\Waterdemand2.dfs0
C31;1014.5;1;SUB1090 ;.\Waterdemand2.dfs0
